Alternative,g1,g2,g3,g4,g5,Class
a513,0.036364,0.75641,0,0.25,1,Cl1
a514,0.109091,0.320513,0.333333,0.25,1,Cl1
a515,0.036364,0.564103,0.666667,0.75,1,Cl2
a516,1,0.551282,1,0.5,0.333333,Cl2
a517,0.090909,0.102564,0.666667,1,0.333333,Cl1
a518,0.072727,0.371795,1,0.75,0.333333,Cl2
a519,1,0.205128,1,0.25,0,Cl1
a520,0.072727,0.397436,1,0.25,0.666667,Cl2
a521,0,0.589744,0.666667,1,1,Cl2
a522,0.054545,0.653846,0,0.75,0.333333,Cl2
a523,0.036364,0.769231,0,1,0.666667,Cl2
a524,0.109091,0.769231,0,0.5,1,Cl2
a525,0,0.166667,0,0,1,Cl1
a526,0.090909,0.038462,0,0.25,0,Cl1
a527,0.072727,0.012821,1,0.25,0.666667,Cl1
a528,0.109091,0.410256,1,0.5,0,Cl2
a529,0,0.371795,0.333333,0.25,0.666667,Cl1
a530,0.054545,0.307692,0.666667,0.5,0.333333,Cl1
a531,0.109091,0.564103,0,0.25,0,Cl1
a532,0,0.435897,1,0.25,0.666667,Cl2
a533,0.054545,0.884615,0,1,1,Cl2
a534,0,0.269231,0,0.25,0.666667,Cl1
a535,0.090909,0.448718,0.333333,0.75,0,Cl1
a536,0.072727,0.076923,0.333333,0,0.666667,Cl1
a537,0.054545,0.115385,0,0.25,1,Cl1
a538,0.054545,0.769231,0.333333,0,0,Cl1
a539,0.109091,0.423077,0.333333,0.5,0,Cl1
a540,0.090909,0.858974,0.333333,1,0,Cl2
a541,1,0.269231,0.666667,0.75,1,Cl2
a542,0.054545,0.666667,0,1,0.333333,Cl2
a543,0.090909,0.589744,0.333333,0.25,1,Cl1
a544,1,0.24359,0,0.25,0,Cl1
a545,0,0.358974,0.666667,0.25,0.666667,Cl1
a546,0.036364,0.871795,0.333333,0.5,0,Cl2
a547,0.036364,0.025641,1,0.5,0,Cl1
a548,0.072727,0.141026,0.333333,0,0,Cl1
a549,0,0.051282,0.333333,0.75,1,Cl1
a550,0.072727,0.230769,1,0,1,Cl1
a551,0.072727,0.846154,0.666667,0.25,1,Cl2
a552,1,0.474359,0.333333,0.5,0.666667,Cl2
a553,0.036364,0.692308,0.333333,0.75,0.333333,Cl2
a554,0,0.602564,1,0.25,0.333333,Cl2
a555,0,0.564103,0,0.25,1,Cl1
a556,1,0.230769,1,0.25,0,Cl1
a557,0.072727,0.076923,0.666667,0.25,0,Cl1
a558,0,0.833333,1,0.25,0.666667,Cl2
a559,0.109091,0.192308,0.666667,0.25,0.333333,Cl1
a560,0,0.525641,1,1,0.333333,Cl2
a561,0.036364,1,0,0.75,0.333333,Cl2
a562,0.036364,0.410256,1,0.25,0,Cl1
a563,0.109091,0.141026,0,0.25,1,Cl1
a564,0.036364,0.192308,0.333333,1,0,Cl1
a565,0.054545,0.666667,0,0,0,Cl1
a566,0.090909,0.833333,0.333333,0.75,0.666667,Cl2
a567,0.054545,0.307692,0,0.25,0.333333,Cl1
a568,0.054545,0.141026,0,0.75,0.333333,Cl1
a569,0.054545,0.692308,0.666667,0.75,0,Cl2
a570,0.109091,0.717949,0,0.75,0.333333,Cl2
a571,0.109091,0.833333,0,0,0,Cl1
a572,0,0.641026,0,0,0.666667,Cl1
a573,0.109091,0.5,0.333333,0,1,Cl1
a574,0.090909,0.435897,1,1,0.666667,Cl2
a575,1,0.576923,0,0,0.333333,Cl1
a576,0.072727,0.858974,0.333333,0.75,0,Cl2
a577,1,0.679487,1,0.75,0.333333,Cl2
a578,0.072727,0.397436,0,0.5,0.333333,Cl1
a579,0.109091,0.128205,0,0.25,0,Cl1
a580,0.090909,0.384615,1,0,1,Cl1
a581,0.090909,0.051282,0.333333,0,0.666667,Cl1
a582,0.054545,0.5,0,0.5,0,Cl1
a583,0.072727,0.320513,0,1,0.666667,Cl1
a584,0.072727,0.589744,0,0,0,Cl1
a585,0.109091,0.141026,1,0.75,0,Cl1
a586,0,0.448718,0,0,0.666667,Cl1
a587,0.072727,0.24359,0.333333,0.5,0.333333,Cl1
a588,0.036364,0.679487,0.333333,1,0,Cl2
a589,0.090909,0.5,1,1,0.666667,Cl2
a590,0.036364,0.538462,1,0.25,0.666667,Cl2
a591,0.072727,0.871795,0,0.75,0.333333,Cl2
a592,0.054545,0.461538,1,1,1,Cl2
a593,0.036364,0.448718,1,0.25,0.666667,Cl2
a594,0.090909,0.038462,1,0.75,0.333333,Cl1
a595,0.109091,0.205128,0.333333,0.25,0.666667,Cl1
a596,0.090909,0.884615,1,0,1,Cl2
a597,0.109091,0.602564,0.666667,0,1,Cl2
a598,1,0.320513,0,0.75,0,Cl1
a599,1,0.807692,0.333333,1,0.333333,Cl2
a600,0.090909,0.538462,0.333333,1,1,Cl2
a601,0.090909,0.538462,0.333333,0,0.666667,Cl1
a602,0,0.089744,1,0.75,0.666667,Cl1
a603,0.090909,0.897436,1,1,0.666667,Cl2
a604,0.036364,0.705128,1,0.75,1,Cl2
a605,1,0.730769,0.333333,0,1,Cl2
a606,0.072727,0.961538,1,0.5,0,Cl2
a607,0.036364,0.282051,0.666667,0,1,Cl1
a608,0.109091,0.551282,1,0.75,0,Cl2
a609,0.054545,0.012821,1,0.5,1,Cl1
a610,0.109091,0.75641,0.333333,1,1,Cl2
a611,0.054545,0.769231,1,0,0.333333,Cl2
a612,0.036364,0.320513,0.666667,0.5,0.666667,Cl1
a613,0.036364,0.74359,0,0.5,0.666667,Cl2
a614,0.090909,0.358974,1,0.5,0.333333,Cl2
a615,0.054545,0.961538,1,0.5,0,Cl2
a616,0,0.653846,0.666667,0,0.666667,Cl1
a617,0.109091,0,0,1,1,Cl1
a618,0.054545,0.012821,0.666667,0,0,Cl1
a619,0.072727,0.064103,0,0.5,0,Cl1
a620,0.109091,0.794872,1,0.75,0,Cl2
a621,0.072727,0.897436,0,0,0,Cl1
a622,0.072727,0.25641,0.666667,1,0.666667,Cl2
a623,0,0.307692,1,0.25,1,Cl1
a624,1,0.333333,0,0,0.666667,Cl1
a625,0,0.538462,0.666667,0.5,0.333333,Cl2
a626,0.090909,0.74359,0,0.5,0,Cl1
a627,1,0.705128,0.666667,0,1,Cl2
a628,0.054545,0.064103,0.333333,1,0,Cl1
a629,0.036364,0.128205,0,1,0.666667,Cl1
a630,0.054545,0.705128,0,0.25,1,Cl1
a631,0.109091,0.74359,0.666667,0.75,0.333333,Cl2
a632,0.036364,0.025641,1,0.75,1,Cl1
a633,1,0.141026,1,0.75,0.333333,Cl2
a634,0.090909,0.512821,0.333333,0,1,Cl1
a635,0.036364,0,0,0.5,1,Cl1
a636,0,0.692308,0.666667,0.75,0.666667,Cl2
a637,0.054545,0.589744,1,1,0,Cl2
a638,1,0.589744,1,0.5,1,Cl2
a639,0.054545,0.833333,1,0.75,0.333333,Cl2
a640,0,0.961538,0.666667,0,0.666667,Cl2
a641,0.109091,0.589744,0.333333,0,0.333333,Cl1
a642,0,0.192308,1,0.75,0.333333,Cl1
a643,0,0.615385,0.666667,0.25,1,Cl2
a644,1,0.846154,0.333333,0.25,1,Cl2
a645,0.054545,0.012821,1,0.5,0.666667,Cl1
a646,1,0.410256,0,0,0.666667,Cl1
a647,0.090909,0,0.666667,0.75,0,Cl1
a648,0.090909,0.692308,0,0.75,0.666667,Cl2
a649,1,0.025641,1,0,1,Cl1
a650,0,0.166667,0,0,0.333333,Cl1
a651,0.054545,0.397436,1,0.25,0,Cl1
a652,0.054545,0.576923,1,1,0.666667,Cl2
a653,0.109091,0.435897,0.333333,0.25,1,Cl1
a654,0,0.192308,0.333333,1,0,Cl1
a655,0.109091,0.192308,1,0.5,0.333333,Cl1
a656,0,0.961538,1,0.75,1,Cl2
a657,1,0.833333,1,0.5,0,Cl2
a658,0.054545,0.384615,1,0,0,Cl1
a659,0.090909,0.025641,0.333333,0.5,1,Cl1
a660,0.036364,0.205128,1,0.5,1,Cl2
a661,0.054545,0.076923,1,0.75,0.666667,Cl1
a662,0.090909,0.089744,1,0,1,Cl1
a663,0.090909,0.602564,0.333333,0,1,Cl1
a664,0.109091,0.871795,0,0.25,0.666667,Cl2
a665,0,0.564103,1,0.25,1,Cl2
a666,0.090909,0.423077,0.333333,0,0,Cl1
a667,0.054545,0.320513,0.666667,1,1,Cl2
a668,0.036364,0.961538,0,1,1,Cl2
a669,0.090909,0.153846,0.666667,0.25,0,Cl1
a670,1,0.333333,0,0.5,0.666667,Cl1
a671,0.109091,0.833333,0.333333,1,0.666667,Cl2
a672,0.072727,0.230769,0.666667,0.5,0.333333,Cl1
a673,0.109091,0.423077,0.333333,0.5,0.333333,Cl1
a674,0.072727,0.538462,1,0.5,0.333333,Cl2
a675,1,0.025641,0.333333,0.25,0.333333,Cl1
a676,0,0.397436,0.666667,0.75,0.666667,Cl2
a677,0.036364,0.397436,1,0.75,0.333333,Cl2
a678,0,0.24359,0,0,0,Cl1
a679,0.109091,0.538462,0,1,0.333333,Cl2
a680,0,0.525641,0.333333,0.75,0.333333,Cl2
a681,0.054545,0.615385,0.333333,0,0,Cl1
a682,0.090909,0.320513,0,0.25,0.333333,Cl1
a683,0.054545,0.782051,0,0.25,0.666667,Cl1
a684,0.054545,0.461538,0.333333,0,0.666667,Cl1
a685,0,0.064103,1,0.5,0.333333,Cl1
a686,0.036364,0.217949,1,0.5,0.333333,Cl1
a687,0.054545,0.179487,0,0.5,1,Cl1
a688,0.072727,0.564103,0.333333,0,1,Cl1
a689,0.090909,0.012821,0.666667,0.75,1,Cl1
a690,0,0.628205,0,1,0,Cl2
a691,1,0.769231,0.333333,0,0.666667,Cl2
a692,0.090909,0.25641,1,0.75,0.333333,Cl2
a693,0.072727,0.884615,1,0.25,0.333333,Cl2
a694,1,0.705128,0.666667,0,0.666667,Cl2
a695,0,0.192308,0.666667,0.5,0.666667,Cl1
a696,1,0.012821,0.666667,0.5,0,Cl1
a697,1,0.179487,0.333333,0.75,0.666667,Cl2
a698,0.109091,0.384615,0.333333,0.5,0,Cl1
a699,1,0.833333,0,1,0.333333,Cl2
a700,0.054545,0.205128,0.666667,1,0,Cl1
a701,0.054545,0.641026,0,0,0,Cl1
a702,0.090909,0.679487,1,0.25,0,Cl2
a703,0.109091,0.474359,0,0.25,0,Cl1
a704,0.072727,0.038462,1,1,0.666667,Cl2
a705,1,0.666667,0,0,1,Cl2
a706,0.054545,0.333333,0.666667,0,0.333333,Cl1
a707,0,0.679487,0,0.75,0.666667,Cl2
a708,0.036364,0.487179,1,0.25,0,Cl1
a709,0.072727,0.705128,0.666667,0.5,0.333333,Cl2
a710,0.109091,0.192308,0.666667,0.25,1,Cl1
a711,0.109091,0.410256,0.333333,0.5,0.333333,Cl1
a712,0.054545,0.782051,0.666667,0.5,0,Cl2
a713,0.072727,0.525641,1,0.75,1,Cl2
a714,0.054545,0.564103,0.666667,0.25,1,Cl2
a715,0.072727,0,0,0.75,1,Cl1
a716,0.109091,0.807692,0,0.25,0.333333,Cl1
a717,0.090909,0.666667,0.666667,0.25,0.333333,Cl2
a718,0.109091,0.141026,0.666667,0.5,0,Cl1
a719,0.054545,0.012821,0.666667,0.25,0.333333,Cl1
a720,1,0.24359,0.666667,0.75,0.666667,Cl2
a721,0.090909,0.038462,0,0.75,0.333333,Cl1
a722,0,0.410256,0.333333,1,0.333333,Cl2
a723,0.072727,0.461538,0,0.25,0,Cl1
a724,1,0.448718,0,0.75,0,Cl2
a725,0,0.179487,0,0.75,0.666667,Cl1
a726,0.072727,0.24359,0.666667,1,0.666667,Cl2
a727,0.072727,0.692308,1,0,1,Cl2
a728,1,0.615385,1,1,1,Cl2
a729,1,0.205128,1,0.25,0.333333,Cl2
a730,0,0.012821,1,0,0,Cl1
a731,0.109091,0.858974,0.666667,0.75,0.333333,Cl2
a732,0.109091,1,0.333333,0.25,1,Cl2
a733,0.072727,0.461538,0.333333,0.5,0.666667,Cl1
a734,0.090909,0.794872,1,0.5,0.333333,Cl2
a735,0.072727,0.628205,0.333333,0,1,Cl1
a736,0.109091,0.564103,0,0,0,Cl1
a737,0.072727,0.717949,1,0.25,0,Cl2
a738,0.090909,0.589744,1,0.5,0,Cl2
a739,0.054545,0.269231,1,0,0.666667,Cl1
a740,1,0.769231,0,0.25,0.333333,Cl2
a741,0.109091,0.807692,0,0,0.666667,Cl1
a742,1,0.435897,0.666667,0.75,0.333333,Cl2
a743,0,0,1,0.5,0,Cl1
a744,0.036364,0.602564,0,0.5,0.666667,Cl1
a745,0.054545,0.730769,0.333333,1,0,Cl2
a746,0.072727,0.025641,1,0.25,1,Cl1
a747,0.036364,0.012821,0.666667,0.5,0.666667,Cl1
a748,0,0.397436,0.666667,0.5,1,Cl2
a749,1,0.102564,0.666667,0.75,0.333333,Cl2
a750,0.072727,0.371795,0.666667,0,0,Cl1
a751,0.109091,0.448718,0,0.5,0.666667,Cl1
a752,0.090909,0.666667,0.666667,0,1,Cl2
a753,1,0.25641,0.333333,0,0,Cl1
a754,0.054545,0.576923,0.666667,0.25,1,Cl2
a755,0,0.807692,1,0.5,1,Cl2
a756,0.109091,0.525641,0,0.75,0.333333,Cl1
a757,1,0.294872,0.666667,0.25,0,Cl1
a758,0.054545,0.794872,0,0.25,1,Cl2
a759,0,0.846154,0.666667,0.75,0,Cl2
a760,1,0.679487,1,0.75,1,Cl2
a761,0.054545,0.217949,0.666667,0,0.666667,Cl1
a762,0.036364,0,0.333333,0,0.666667,Cl1
a763,1,0.269231,0.333333,0,1,Cl1
a764,0.109091,0.230769,0,0,0,Cl1
a765,0.054545,0.358974,0,0.75,0.333333,Cl1
a766,0.109091,0.961538,0,0.5,0.333333,Cl2
a767,0.090909,0.435897,0,0.5,0,Cl1
a768,0,0.615385,0,0,0.333333,Cl1
a769,1,0.294872,1,0.75,0.666667,Cl2
a770,1,0.397436,1,1,0,Cl2
a771,0.036364,0.833333,0,1,0.333333,Cl2
a772,1,0.871795,0,0.75,0,Cl2
a773,0.054545,0.153846,0,0,0.666667,Cl1
a774,1,0.769231,1,0.75,1,Cl2
a775,0.036364,0.615385,0,0.75,0,Cl1
a776,0.090909,0.75641,1,1,0.333333,Cl2
a777,0.036364,0.012821,0.666667,0.25,0,Cl1
a778,0,0.192308,1,0,0,Cl1
a779,0.036364,0.397436,0.666667,1,0,Cl2
a780,0,0.24359,0,1,0,Cl1
a781,0.109091,0.089744,0.666667,0,0.333333,Cl1
a782,0,0.833333,0.333333,0.75,1,Cl2
a783,0.090909,0.128205,0.333333,0.75,0,Cl1
a784,0.054545,0.5,0,0.75,0.333333,Cl1
a785,0,0.141026,0,0,1,Cl1
a786,0.109091,0.717949,0,0.25,0,Cl1
a787,0.054545,0.410256,1,0,1,Cl1
a788,1,0.230769,0,1,0.666667,Cl2
a789,0.072727,0.538462,0.333333,0.25,0.666667,Cl1
a790,0.036364,0.5,1,0,0.666667,Cl1
a791,0.090909,0.166667,0.666667,1,1,Cl2
a792,0.054545,0.871795,0,1,0.666667,Cl2
a793,0.090909,0.282051,0,0.5,1,Cl1
a794,0.090909,0.423077,0,0.25,1,Cl1
a795,0.054545,0.025641,1,0.75,1,Cl2
a796,1,0.025641,1,0.5,1,Cl2
a797,0.109091,0.576923,1,0.5,0.666667,Cl2
a798,0.072727,0.115385,0,0.25,0,Cl1
a799,0.072727,0.576923,0,0.75,0.666667,Cl2
a800,0.109091,0.384615,0.333333,0,0.666667,Cl1
a801,1,0.128205,0.666667,0.75,0.666667,Cl2
a802,0.054545,0.025641,1,0,0.666667,Cl1
a803,0.036364,0.730769,0,0.5,0.666667,Cl2
a804,0.054545,0.205128,0.666667,1,0.333333,Cl2
a805,0.090909,0.602564,0.333333,0,0.666667,Cl1
a806,0.036364,0.320513,0.333333,0.5,0.333333,Cl1
a807,1,0.230769,0,0.5,1,Cl1
a808,1,0.794872,1,1,0,Cl2
a809,0.109091,0.410256,0,1,0,Cl1
a810,0.036364,0.153846,1,0.75,0,Cl1
a811,0.109091,0.307692,1,0.5,0,Cl1
a812,0.072727,0.294872,0,0.5,1,Cl1
a813,0.036364,0.538462,0,1,1,Cl2
a814,0.036364,0.525641,0.666667,0,0,Cl1
a815,0.109091,0.371795,1,0.5,0,Cl1
a816,0.036364,0.666667,0.666667,0,0.333333,Cl1
a817,0,0.782051,0,0.5,0,Cl1
a818,0,0.679487,0.666667,1,0,Cl2
a819,1,0.448718,0.666667,1,1,Cl2
a820,0.109091,0.75641,0,0.75,0.333333,Cl2
a821,0.036364,0.846154,0.666667,0.5,0,Cl2
a822,0,0.653846,1,0.5,0.333333,Cl2
a823,1,0.448718,1,0.75,0,Cl2
a824,1,0.435897,0,0,1,Cl1
a825,1,0.358974,1,0,0.333333,Cl2
a826,0.036364,0.179487,0.666667,0.25,1,Cl1
a827,0.109091,0.589744,1,1,1,Cl2
a828,0.054545,0.871795,1,1,1,Cl2
a829,0.109091,0.512821,0.333333,1,0,Cl2
a830,0,0.538462,0.666667,0.75,0.666667,Cl2
