Alternative,g1,g2,g3,g4,g5,g6,Class
a528,0.666667,0.666667,0.666667,0.5,0.5,0,Cl1
a529,1,1,0.666667,0.5,1,1,Cl3
a530,0.666667,0.333333,0.666667,0.5,0.5,1,Cl2
a531,0.666667,0.333333,1,1,1,1,Cl3
a532,0.666667,0.333333,0,1,0.5,0,Cl1
a533,1,1,0.333333,1,1,0,Cl2
a534,0.333333,0,0,1,0.5,0.5,Cl1
a535,0.666667,0,0,0,0,0,Cl1
a536,0.666667,0.333333,0,0.5,0.5,0.5,Cl1
a537,1,0.666667,1,0.5,0.5,1,Cl3
a538,0.666667,0.333333,0,1,0.5,1,Cl2
a539,1,1,1,1,0.5,1,Cl3
a540,0.333333,0.666667,1,0.5,0,0,Cl1
a541,0.666667,1,0,1,0.5,1,Cl3
a542,0.333333,1,0.666667,0.5,1,1,Cl2
a543,0,0.666667,0.666667,1,0,0,Cl1
a544,0.333333,0.666667,1,0.5,1,1,Cl2
a545,1,0.666667,1,0.5,0.5,0,Cl1
a546,1,1,0,1,0.5,1,Cl3
a547,0.333333,0,0.333333,1,0,0,Cl1
a548,1,1,0,1,0,0,Cl1
a549,0.333333,0.666667,0,1,0.5,1,Cl2
a550,0.333333,0,0.666667,0,1,1,Cl1
a551,0.666667,0.666667,0.333333,1,0.5,1,Cl3
a552,0.333333,1,0.333333,0,1,0.5,Cl1
a553,0.666667,0.333333,0.333333,0,1,1,Cl1
a554,0,0.333333,0.333333,0.5,0,0,Cl1
a555,0,0.666667,0,0.5,0,1,Cl1
a556,1,0,0,1,0.5,1,Cl2
a557,0,0.333333,0.666667,0,1,0,Cl1
a558,1,0.666667,0.333333,1,1,1,Cl3
a559,0,0.333333,1,0.5,1,1,Cl2
a560,1,0.666667,0.666667,1,0.5,0,Cl2
a561,0.333333,0.333333,0,0.5,0.5,0,Cl1
a562,0,1,0.333333,1,1,0,Cl1
a563,0.333333,0,1,1,0.5,0.5,Cl1
a564,0.333333,0,1,0,1,1,Cl1
a565,0.666667,0.333333,0.333333,0,0.5,1,Cl1
a566,0.333333,0.666667,0.333333,0.5,1,0.5,Cl1
a567,0.333333,0.666667,0.666667,0,0.5,0,Cl1
a568,1,0.666667,1,0,1,0,Cl1
a569,0,0.333333,0.333333,0.5,0,0.5,Cl1
a570,0.333333,0.666667,0.333333,1,0,0,Cl1
a571,1,1,0.666667,1,0.5,1,Cl3
a572,1,0.333333,0.333333,0,0,0.5,Cl1
a573,0.333333,1,0,1,0,0,Cl1
a574,0.333333,0.333333,0.666667,1,0.5,0.5,Cl1
a575,0.333333,0,1,1,1,0.5,Cl1
a576,1,0.666667,0,0.5,0,0.5,Cl1
a577,1,0.666667,1,1,0.5,1,Cl3
a578,1,1,0.333333,0,0,0.5,Cl1
a579,0.666667,0.666667,1,0.5,0.5,0,Cl1
a580,1,0.333333,0.666667,1,0.5,0.5,Cl2
a581,0.666667,1,1,0,0.5,0.5,Cl1
a582,0.666667,0.666667,1,1,1,0,Cl2
a583,0.333333,1,0.333333,1,0.5,0.5,Cl2
a584,0.666667,0.333333,0.666667,0,0.5,1,Cl1
a585,0.333333,0.666667,0.333333,1,1,1,Cl3
a586,0.666667,0.333333,0,0.5,1,1,Cl2
a587,0.333333,0,0.333333,0.5,1,1,Cl1
a588,0,0.666667,1,1,0.5,0.5,Cl2
a589,0.333333,0,0,0.5,0.5,1,Cl1
a590,0,1,1,1,0.5,0.5,Cl2
a591,1,1,0.666667,0.5,1,0.5,Cl2
a592,1,0.666667,1,0,0,1,Cl2
a593,1,1,0.666667,1,0,0.5,Cl2
a594,1,0.666667,0.333333,1,0.5,0.5,Cl2
a595,0.333333,0,0.333333,0.5,0.5,1,Cl1
a596,0.333333,0,0.333333,0,0,1,Cl1
a597,0.666667,0,0.666667,1,0,1,Cl2
a598,0,1,1,0.5,0.5,1,Cl2
a599,0,0.666667,1,0.5,1,0.5,Cl1
a600,0,0,0.333333,1,1,0,Cl1
a601,0.333333,1,1,1,0,0.5,Cl2
a602,0.666667,1,0.666667,0.5,0,0,Cl1
a603,0.333333,0.333333,0.333333,0.5,1,0.5,Cl1
a604,0.333333,1,0.666667,0.5,1,0,Cl1
a605,0.333333,0,0.666667,0.5,1,0,Cl1
a606,0,1,0.333333,0,0,1,Cl1
a607,0.666667,0,0.666667,0.5,0.5,0.5,Cl1
a608,1,0.666667,0.333333,0,1,1,Cl2
a609,0.333333,0.333333,0.333333,0.5,0.5,0.5,Cl1
a610,0.333333,0.333333,0,0.5,1,1,Cl2
a611,0.333333,0,0,0,0,0.5,Cl1
a612,0.333333,0.666667,0.333333,0,0,1,Cl1
a613,0,0,0,0.5,0,1,Cl1
a614,0.333333,0,0.333333,0,1,1,Cl1
a615,1,0.666667,0,0.5,0,0.5,Cl1
a616,0.666667,0.333333,0.666667,0,1,0,Cl1
a617,0,0,0.333333,1,0.5,0,Cl1
a618,0,0.666667,0,0.5,1,0,Cl1
a619,0.333333,1,0.333333,1,0.5,1,Cl3
a620,0.666667,0,0,0,1,0,Cl1
a621,0.333333,0.333333,0,1,0.5,0.5,Cl1
a622,1,0.666667,0,1,1,0,Cl2
a623,0.333333,0.666667,0.333333,0,0,0.5,Cl1
a624,1,0,0,0.5,0,0.5,Cl1
a625,0.666667,0.666667,0.666667,0,1,0,Cl1
a626,0,0.666667,0.666667,0.5,1,0,Cl1
a627,0,0.333333,0,0.5,1,0,Cl1
a628,0.666667,0,0.333333,0.5,0,0.5,Cl1
a629,0.666667,0,0,0,1,1,Cl1
a630,0.333333,0,0,0.5,0,1,Cl1
a631,0.666667,0.666667,0.333333,0,0,0.5,Cl1
a632,0,0.666667,0.666667,0,1,1,Cl1
a633,1,1,0.666667,0.5,0.5,0,Cl1
a634,0.666667,0.666667,1,1,0.5,0,Cl1
a635,0.333333,1,1,0.5,0.5,0,Cl1
a636,0.666667,0.666667,0.333333,0.5,1,0.5,Cl1
a637,0.333333,0,0.333333,1,0.5,0.5,Cl1
a638,0,0.333333,0.666667,0.5,0,1,Cl1
a639,0.666667,0.666667,0,1,1,0.5,Cl2
a640,0.333333,0.333333,0.666667,1,0,1,Cl2
a641,0.666667,0.333333,1,1,0.5,0,Cl1
a642,0,0,0.333333,1,0.5,0,Cl1
a643,1,1,0,0,1,1,Cl2
a644,1,0,1,0,0.5,1,Cl1
a645,0,0.666667,0,0.5,1,0.5,Cl1
a646,1,1,0.333333,0,1,0,Cl1
a647,1,1,0.666667,0.5,0,0,Cl1
a648,0.666667,0.666667,0,0,0,0.5,Cl1
a649,0,1,0.333333,0,1,0,Cl1
a650,0.333333,0.666667,0.666667,0,0.5,1,Cl1
a651,0,0.333333,1,1,1,1,Cl2
a652,0,0,0.333333,1,0.5,0.5,Cl1
a653,0,0,0.666667,1,0,1,Cl1
a654,1,0,0.666667,0,0.5,0.5,Cl1
a655,0.333333,0.333333,0.333333,0.5,0,0,Cl1
a656,0.666667,0,0.333333,0.5,0.5,1,Cl2
a657,0.333333,0.666667,1,0,0.5,0,Cl1
a658,0,0.333333,0.666667,0.5,0.5,1,Cl1
a659,0,0,1,0.5,0.5,0.5,Cl1
a660,0.333333,1,0,1,1,0,Cl1
a661,0.333333,0.333333,0.666667,0.5,1,0.5,Cl1
a662,0.666667,0.666667,0,0.5,0.5,0,Cl1
a663,1,1,1,1,0,0.5,Cl2
a664,0,0,0,0,0.5,1,Cl1
a665,0.333333,0.666667,1,1,0.5,1,Cl3
a666,0.666667,0.666667,0.666667,1,1,1,Cl3
a667,0,1,0.666667,1,1,0,Cl1
a668,0,0,0.666667,0,0,1,Cl1
a669,0.333333,0.666667,1,0.5,0.5,1,Cl2
a670,0,1,0,1,1,1,Cl3
a671,1,0.333333,0.666667,0.5,1,0.5,Cl2
a672,1,0.333333,1,0.5,1,1,Cl3
a673,0,0.666667,0,0.5,0,0,Cl1
a674,0.333333,1,0.333333,1,1,0.5,Cl2
a675,1,0.666667,0.333333,0,1,1,Cl2
a676,1,0.666667,0.666667,0.5,0.5,0,Cl1
a677,0.666667,0.666667,1,0,0.5,0,Cl1
a678,0.666667,1,0.666667,1,0.5,0.5,Cl2
a679,0.333333,1,0.666667,0.5,1,1,Cl2
a680,0.666667,1,0.333333,0,1,1,Cl2
a681,0.666667,0.666667,1,0,0,1,Cl1
a682,0,0.666667,1,0,0.5,0,Cl1
a683,0,1,0,0.5,0.5,0.5,Cl1
a684,1,0,0.666667,0,1,0,Cl1
a685,0.666667,0.666667,0,1,0,1,Cl2
a686,0.333333,0,0,0.5,0.5,1,Cl1
a687,0.333333,0,0.666667,1,0,1,Cl2
a688,0,0,1,1,0,0,Cl1
a689,1,0.333333,0,0,0,0.5,Cl1
a690,1,0,0.333333,1,1,0,Cl1
a691,0.333333,0,0.666667,1,1,0,Cl1
a692,0.333333,0,0.333333,0,1,0.5,Cl1
a693,0.333333,1,0,0,0,0,Cl1
a694,1,0,0.666667,1,0.5,0,Cl1
a695,0,0,0.333333,0.5,0.5,0.5,Cl1
a696,1,1,0,1,1,1,Cl3
a697,0,0,0.333333,0,0,1,Cl1
a698,0.666667,0.666667,0.333333,1,0,1,Cl3
a699,0.666667,0.333333,1,0,1,0,Cl1
a700,1,0,1,0,0,0.5,Cl1
a701,0.666667,0.333333,1,0,1,1,Cl1
a702,0.666667,0.666667,1,0.5,1,1,Cl2
a703,0.666667,0,0.666667,0,1,1,Cl1
a704,0,0,0,1,0.5,0.5,Cl1
a705,0.666667,0.333333,0,0.5,1,0,Cl1
a706,1,0,0.666667,1,0.5,0,Cl1
a707,1,0.666667,0.333333,0,0,0.5,Cl1
a708,1,0,0.666667,0,0.5,1,Cl1
a709,0.666667,0.333333,0.333333,0,0,1,Cl1
a710,1,0.666667,0.333333,1,0.5,0.5,Cl2
a711,0,0,0,0,1,0,Cl1
a712,1,0.666667,0,0,1,0,Cl1
a713,0.666667,1,0,1,0,1,Cl3
a714,0.666667,0.666667,0.333333,0.5,0.5,0,Cl1
a715,0.333333,1,1,1,0,1,Cl3
a716,0,0,1,0.5,0,0.5,Cl1
a717,0,1,1,0,1,0.5,Cl1
a718,0.666667,1,1,1,0,1,Cl3
a719,0.666667,0,1,1,0,0.5,Cl1
a720,0.666667,0.666667,0,0,0,0,Cl1
a721,1,0.666667,1,0.5,1,0.5,Cl2
a722,0.666667,0,0,0,1,0.5,Cl1
a723,0,1,0,1,1,0,Cl1
a724,0.666667,0,0.666667,0.5,1,1,Cl2
a725,0.333333,0,0,1,1,1,Cl2
a726,0,0.666667,0,0.5,0,0.5,Cl1
a727,1,1,0.666667,0.5,0,0,Cl1
a728,0.666667,1,0.333333,1,0.5,0,Cl1
a729,0,0.333333,1,0,0,1,Cl1
a730,0.333333,0.333333,0,0,1,0.5,Cl1
a731,1,0.333333,0,1,0.5,1,Cl3
a732,1,0.666667,0.666667,0,0.5,0,Cl1
a733,1,1,1,1,1,0,Cl2
a734,0,0,1,1,1,0,Cl1
a735,0.333333,0,1,0,0,0.5,Cl1
a736,1,0,0,0,0.5,0,Cl1
a737,1,0.666667,0.333333,0.5,0.5,0,Cl1
a738,0.333333,0,0.333333,1,0,0.5,Cl1
a739,1,0.666667,0.666667,0.5,1,0.5,Cl2
a740,0.666667,0.333333,0.666667,1,0,1,Cl2
a741,0.666667,0,0.333333,1,1,1,Cl2
a742,0.333333,0.666667,0.333333,0.5,0,1,Cl2
a743,0,0,0.666667,0,0,0.5,Cl1
a744,0,0.333333,0.666667,1,0.5,1,Cl2
a745,0.333333,0,1,1,0,0,Cl1
a746,0.666667,1,0.333333,0,0,1,Cl1
a747,0.333333,0,1,0,0,0.5,Cl1
a748,0,0.333333,0,0,0.5,0,Cl1
a749,0.666667,0,0.666667,0.5,0,0,Cl1
a750,0,1,0.666667,1,0,1,Cl2
a751,0.333333,0.666667,1,0.5,0.5,0.5,Cl1
a752,0.333333,1,0,0.5,0.5,0.5,Cl1
a753,0.333333,0.666667,0.333333,1,0,0,Cl1
a754,0.666667,0.666667,0.333333,0.5,0.5,1,Cl2
a755,0.333333,0.666667,0,1,0,1,Cl2
a756,1,0,0.333333,0,1,1,Cl1
a757,1,0,0,0.5,0,0.5,Cl1
a758,0.333333,0.666667,0.666667,0,0,0.5,Cl1
a759,0.666667,1,0.333333,0.5,0.5,0.5,Cl2
a760,0.333333,0,0.333333,0,1,0,Cl1
a761,0.666667,0.666667,0.333333,0,0.5,1,Cl1
a762,0.666667,0.333333,0,0.5,0.5,0,Cl1
a763,0.333333,0,0.333333,0.5,0.5,0.5,Cl1
a764,1,0.333333,0.333333,1,0,0,Cl1
a765,0.666667,0.333333,1,1,0.5,1,Cl3
a766,0,0,0.333333,1,0,0.5,Cl1
a767,0.333333,1,0,1,1,0.5,Cl2
a768,0.666667,0,0.666667,1,0,1,Cl2
a769,1,0.666667,1,0,0,0,Cl1
a770,0.333333,0.666667,0.666667,0.5,1,0.5,Cl1
a771,0.333333,0.666667,0.666667,0,0.5,0,Cl1
a772,1,0,0.666667,0.5,1,0,Cl1
a773,1,1,1,1,0.5,1,Cl3
a774,0.666667,0.666667,0.666667,1,1,0.5,Cl2
a775,0,1,1,1,0.5,1,Cl3
a776,0,0,0.333333,0.5,1,0.5,Cl1
a777,0,0.666667,0.333333,0,1,1,Cl1
a778,1,0.666667,1,0,1,0,Cl1
a779,0.666667,1,1,0,0.5,0,Cl1
a780,0.666667,0.666667,0.666667,1,1,1,Cl3
a781,0,0,1,0,0.5,1,Cl1
a782,0,0,1,0,0.5,0.5,Cl1
a783,0.666667,0,0.333333,0,1,1,Cl1
a784,0,0.333333,1,0.5,0.5,0.5,Cl1
a785,0.333333,1,0,1,0.5,0,Cl1
a786,0.333333,0,0.666667,0,0,0,Cl1
a787,0.333333,0.333333,0.333333,0,0,0,Cl1
a788,1,0.333333,0.666667,1,0.5,1,Cl3
a789,0.666667,1,0,0,0.5,0.5,Cl1
a790,0,0.333333,1,1,0.5,0,Cl1
a791,0.333333,0.333333,1,1,0.5,0.5,Cl2
a792,0,0,1,0.5,0,0.5,Cl1
a793,0.333333,1,1,0,0,0.5,Cl1
a794,1,0,0.333333,1,0,1,Cl2
a795,0.333333,1,0,1,0,0,Cl1
a796,0.333333,0,1,0.5,0,1,Cl1
a797,1,0.666667,0.666667,0.5,0.5,1,Cl2
a798,1,1,1,0.5,0,1,Cl3
a799,0.333333,0,0.333333,0.5,0,0,Cl1
a800,1,0.666667,1,0.5,0,0,Cl1
a801,0.333333,0,1,0,0.5,0.5,Cl1
a802,0.333333,0.666667,0,0.5,1,0,Cl1
a803,0.666667,0.666667,0.333333,0.5,0,0,Cl1
a804,1,1,0,0.5,0,0,Cl1
a805,0,0.666667,0.333333,0,1,0.5,Cl1
a806,0,0.666667,0.333333,0.5,0,0,Cl1
a807,0,1,0.666667,0.5,0,0.5,Cl1
a808,0.666667,0,1,1,0.5,0,Cl1
a809,0.333333,1,1,1,1,0,Cl2
a810,0.333333,1,0,0.5,1,0,Cl1
a811,0,0.333333,0.666667,0.5,0,0.5,Cl1
a812,0.666667,0,0.333333,0,0.5,0.5,Cl1
a813,1,0.666667,0.666667,1,0.5,0,Cl2
a814,0.333333,1,0.333333,1,1,1,Cl3
a815,0.666667,0,0.666667,0,0.5,0.5,Cl1
a816,0,0.666667,1,1,0,0.5,Cl1
a817,0,0.666667,0.333333,0.5,0.5,1,Cl1
a818,0.666667,1,0.666667,0,0.5,0,Cl1
a819,1,0.666667,1,0,0,1,Cl2
a820,0,0.666667,0,1,0.5,1,Cl2
a821,0.666667,0.666667,0.333333,0.5,0,1,Cl2
a822,1,0,0.333333,0.5,1,0.5,Cl1
a823,0,1,0.666667,0,0,0,Cl1
a824,0,0.666667,1,1,1,1,Cl3
a825,0,1,0,0.5,1,1,Cl2
a826,0.666667,0.666667,0,1,0,0,Cl1
a827,0.666667,0.333333,1,0,1,1,Cl1
a828,1,0.333333,0.333333,0.5,0.5,0.5,Cl1
a829,0.666667,0,0.666667,0,0.5,1,Cl1
a830,0.333333,0.666667,1,1,0,1,Cl2
a831,0.333333,0,0.333333,0,0,0.5,Cl1
a832,0.333333,0,0.666667,1,1,0,Cl1
a833,0.333333,0.666667,0.666667,0.5,0,0.5,Cl1
a834,0,0,0,0,0,0,Cl1
a835,0.666667,0,0.333333,1,1,0,Cl1
a836,0.666667,1,0.666667,0,1,0.5,Cl1
a837,0.666667,0,0.666667,0.5,1,0.5,Cl1
a838,0.666667,0.333333,0.333333,1,0.5,0,Cl1
a839,0.333333,0.666667,1,0.5,1,0.5,Cl1
a840,1,0.333333,1,0.5,1,1,Cl3
a841,0.333333,0.666667,0.333333,0,1,1,Cl1
a842,1,0.666667,1,0.5,0.5,0.5,Cl2
a843,0.666667,0,0,1,0,0.5,Cl1
a844,1,0,0,1,1,0,Cl1
a845,0,0.333333,0.666667,0.5,1,0.5,Cl1
a846,0.333333,0.666667,0.333333,0.5,0,0,Cl1
a847,1,1,0.333333,0,0.5,0,Cl1
a848,0.666667,1,0,0.5,0.5,1,Cl2
a849,0.333333,1,1,1,1,0,Cl2
a850,0.666667,0,0.333333,0.5,0.5,1,Cl2
a851,0,0,0,0,1,0.5,Cl1
a852,0.666667,0.333333,0.333333,0,1,1,Cl1
a853,0.666667,1,1,0,1,0,Cl1
a854,0.333333,0.666667,0,0,1,0.5,Cl1
a855,0.666667,1,0.666667,1,0.5,0,Cl2
a856,0.333333,0,0.666667,1,1,0,Cl1
a857,1,0.333333,0.333333,0.5,0.5,1,Cl2
a858,1,1,0,0.5,1,1,Cl3
a859,0.333333,0.333333,0.666667,0.5,0.5,1,Cl2
a860,0,0,0.333333,0.5,0,1,Cl1
a861,0,0,0.666667,0,0,0,Cl1
a862,1,0.333333,0.333333,0.5,1,1,Cl2
a863,0.666667,0.333333,0.666667,1,0,1,Cl2
a864,0.333333,0.666667,0.333333,1,0.5,0,Cl1
a865,1,0,0.666667,0.5,0,1,Cl2
a866,0.333333,0.666667,0,1,1,0.5,Cl2
a867,0,0.666667,1,0,1,0,Cl1
a868,0.666667,0.333333,0,1,0,1,Cl2
a869,0.666667,0.333333,0.333333,1,1,1,Cl3
a870,0,0.333333,0,0,0.5,1,Cl1
a871,0,0.333333,0.333333,1,0.5,0,Cl1
a872,0.666667,0.666667,0,1,0.5,1,Cl3
a873,1,0,0,0,0.5,0.5,Cl1
a874,0.666667,0.333333,0.666667,1,0.5,1,Cl3
a875,0.666667,0,0.333333,1,1,0,Cl1
a876,0,1,0.333333,0,1,1,Cl1
a877,0.666667,0.333333,0.333333,1,1,1,Cl3
a878,0.666667,0.666667,0.333333,0.5,0,1,Cl2
a879,0,0.333333,1,0,0.5,0,Cl1
a880,0.333333,0,0.666667,0.5,0.5,0,Cl1
a881,0.333333,1,1,0,0,0.5,Cl1
a882,0.333333,0.666667,0,0,1,1,Cl1
a883,0,0,1,0,1,1,Cl1
a884,1,0,0.333333,0.5,1,1,Cl2
a885,0,0,0,0.5,0.5,0.5,Cl1
a886,0.666667,0.666667,1,0.5,0,0.5,Cl1
a887,0.333333,0.666667,0,0.5,0,0.5,Cl1
a888,0,1,1,0.5,1,0,Cl1
a889,0,0,0,1,0,0,Cl1
a890,0,1,0,0.5,0.5,1,Cl2
a891,0.333333,0.333333,1,1,1,1,Cl3
a892,1,1,0.666667,0.5,1,0,Cl1
a893,0.666667,0,0.333333,0.5,0.5,0.5,Cl1
a894,1,1,1,0,0,0.5,Cl1
a895,0,0,1,1,0,1,Cl2
a896,0.666667,0.333333,0,0.5,0.5,0.5,Cl1
a897,0,1,0.666667,0,0.5,1,Cl1
a898,1,1,0.333333,0,0.5,1,Cl2
a899,1,0.333333,1,0.5,1,0.5,Cl2
a900,0.666667,1,1,0,1,1,Cl2
a901,0.666667,1,0.666667,0,0.5,0,Cl1
a902,0,0.333333,0,0.5,1,0,Cl1
a903,0.333333,0.333333,0.666667,1,0,0.5,Cl1
a904,1,0,0.333333,0.5,0.5,0,Cl1
a905,0,0.666667,1,1,1,0.5,Cl2
a906,1,0.333333,0.666667,0,0,0.5,Cl1
a907,0.333333,0.333333,0.666667,1,1,0.5,Cl2
a908,1,1,0.333333,1,0,1,Cl3
a909,0.333333,0.333333,0.666667,0.5,1,1,Cl2
a910,0.333333,0,0.333333,1,0.5,1,Cl2
a911,1,0.333333,0.333333,1,0,0,Cl1
a912,1,1,0,0.5,1,1,Cl3
a913,0,0,0.333333,1,1,1,Cl2
a914,0.666667,0.333333,0.666667,1,1,0.5,Cl2
a915,0.666667,0.333333,0.333333,0.5,0.5,0,Cl1
a916,0.333333,0.666667,0,0,1,1,Cl1
a917,1,1,0,0,1,0.5,Cl1
a918,1,0,0.666667,0.5,0.5,0,Cl1
a919,0.666667,0,0,0.5,0,0,Cl1
a920,0,1,1,1,0.5,1,Cl3
a921,0.333333,0.666667,0.333333,0.5,0,0.5,Cl1
a922,0,0.333333,0.666667,0,1,0.5,Cl1
a923,1,0.666667,0.666667,0,0.5,1,Cl2
a924,1,1,0.333333,0,0.5,0.5,Cl1
a925,1,0,1,1,1,0,Cl1
a926,1,0.333333,1,0,0.5,1,Cl2
a927,1,0.333333,0.666667,1,0,0,Cl1
a928,0.333333,0.666667,0.666667,0.5,0.5,0,Cl1
a929,1,0.333333,0.333333,1,0.5,0.5,Cl2
a930,0.666667,0.333333,0.333333,0,0.5,0,Cl1
a931,0.333333,0.666667,0.333333,0.5,0.5,1,Cl2
a932,0,1,1,0,0,0.5,Cl1
a933,0.333333,0.333333,0.666667,0,1,1,Cl1
a934,1,0,0,0,0.5,1,Cl1
a935,0.333333,0.666667,1,0,0,1,Cl1
a936,0.666667,0.333333,0,1,0,0.5,Cl1
a937,1,0.333333,1,0,1,1,Cl2
a938,0,0.666667,1,0.5,0.5,0.5,Cl1
a939,0.333333,0.333333,0.333333,0,1,0,Cl1
a940,0,0,1,0.5,1,1,Cl1
a941,0.333333,0,0.666667,1,0.5,0.5,Cl1
a942,0.666667,0.333333,0.333333,1,0.5,1,Cl3
a943,0,0,0.333333,0,0,0.5,Cl1
a944,0.333333,0,0.333333,1,0.5,0.5,Cl1
a945,0.333333,1,0.666667,0,0.5,0,Cl1
a946,1,0,0.666667,1,0,1,Cl2
a947,0,0.333333,1,1,0,0,Cl1
a948,0,0.666667,0.333333,0.5,0.5,1,Cl1
a949,0.333333,0,1,1,0.5,0,Cl1
a950,0.666667,0.333333,0.666667,0.5,1,1,Cl2
a951,0.333333,0,0.666667,0,1,1,Cl1
a952,0,0.666667,0.333333,0,0.5,0.5,Cl1
a953,0.333333,1,0,1,1,1,Cl3
a954,1,0,1,0,0.5,1,Cl1
a955,1,0,1,0.5,0.5,0.5,Cl1
a956,0.333333,1,0.333333,0,1,0,Cl1
a957,0.666667,0,0,1,0.5,0.5,Cl1
a958,1,1,0,1,0,1,Cl3
a959,0,0,0.666667,0.5,0.5,1,Cl1
a960,0.666667,1,0,1,0.5,0.5,Cl2
a961,1,0.333333,0.333333,0.5,0.5,1,Cl2
a962,0.333333,1,0.333333,0.5,1,1,Cl2
a963,0.666667,0,0,1,0.5,0.5,Cl1
a964,0.666667,1,0,1,1,0,Cl2
a965,0.666667,0.333333,0.333333,1,0,1,Cl2
a966,1,1,0.666667,0,1,0.5,Cl1
a967,1,1,0.666667,1,0,0,Cl2
a968,1,0.666667,0,1,0.5,0.5,Cl2
a969,0,1,0.333333,0.5,1,1,Cl2
a970,0,0.666667,0.666667,1,0.5,0.5,Cl1
a971,1,1,0,0.5,0.5,0,Cl1
a972,0.333333,0.333333,0,0.5,0,0,Cl1
a973,1,0,1,1,0.5,0,Cl1
a974,0,0.666667,0.333333,0.5,0.5,0,Cl1
a975,1,1,1,0.5,0,0.5,Cl2
a976,1,1,0.666667,0.5,0,0.5,Cl2
a977,0.666667,0.666667,0.666667,0.5,0,0,Cl1
a978,0,1,0.333333,0.5,1,0,Cl1
a979,0,1,0,1,0.5,1,Cl2
a980,0,0.333333,0.666667,1,1,0.5,Cl1
a981,0,0.333333,1,0.5,1,1,Cl2
a982,0.333333,0,0,0.5,0,0.5,Cl1
a983,0.333333,0.333333,0,1,0,0.5,Cl1
a984,0.333333,0,1,1,1,0,Cl1
a985,0.666667,0.666667,0,0,0.5,0,Cl1
a986,0.333333,1,0.666667,0,0,0,Cl1
a987,0.666667,0.666667,0,1,0.5,0,Cl1
a988,0.666667,0.666667,0.666667,1,0,0.5,Cl2
a989,1,0.666667,0.666667,0,1,0.5,Cl1
a990,1,1,0.666667,1,1,1,Cl3
a991,0.333333,1,0,0,0.5,0,Cl1
a992,0.333333,1,1,0,0,0,Cl1
a993,0,1,0,0,1,0,Cl1
a994,0.333333,0.333333,1,0.5,0,0.5,Cl1
a995,0,0,0.666667,0,0,0.5,Cl1
a996,1,1,1,0.5,0,0,Cl1
a997,0,0,1,0,1,0,Cl1
a998,1,0.666667,0.333333,0.5,0,1,Cl2
a999,1,0,0.333333,0.5,1,0.5,Cl1
a1000,0,0.333333,0.666667,1,0,0,Cl1
a1001,0.666667,0.666667,0.666667,1,0.5,0.5,Cl2
a1002,1,0.333333,1,0.5,1,0.5,Cl2
a1003,0,0.666667,0.666667,0,1,1,Cl1
a1004,1,0.333333,1,0,1,0.5,Cl1
a1005,0.666667,0,0,0,0.5,0,Cl1
a1006,0.666667,1,0,1,0.5,0,Cl1
a1007,0.666667,0,0.333333,0.5,0,1,Cl1
a1008,0.666667,1,1,0.5,0.5,1,Cl3
a1009,0.333333,0.666667,1,1,0,0,Cl1
a1010,0.666667,0.666667,1,1,0,0,Cl1
a1011,0.666667,1,0.666667,1,0,1,Cl3
a1012,1,0.666667,1,1,0.5,0.5,Cl2
a1013,0,0,1,1,0,0,Cl1
a1014,0,0.666667,0.333333,1,0.5,0,Cl1
a1015,0.333333,0.666667,0.333333,1,0,1,Cl2
a1016,0.666667,0,1,0.5,0,1,Cl1
a1017,1,0.666667,1,0,0.5,1,Cl2
a1018,0,0,0,1,0.5,0,Cl1
a1019,0.666667,0,0.666667,0,0.5,0.5,Cl1
a1020,1,0,0,0.5,1,0.5,Cl1
a1021,1,0.333333,0.666667,0,0.5,0,Cl1
a1022,1,0,0.333333,0,0.5,1,Cl1
a1023,1,1,0,0.5,0,0.5,Cl2
a1024,1,1,0,1,0,1,Cl3
a1025,0,0,0,0.5,0,0.5,Cl1
a1026,0.666667,0.333333,0.333333,0,0,1,Cl1
a1027,0.666667,0,0,1,0,1,Cl2
a1028,1,1,0,1,0,0,Cl1
a1029,0.666667,1,0.333333,0.5,1,1,Cl3
a1030,0.333333,0.666667,0.333333,0,1,0,Cl1
a1031,0.333333,1,0,0.5,0,1,Cl2
a1032,0.666667,1,1,0.5,0,0.5,Cl1
a1033,0.333333,0.333333,1,1,0.5,0,Cl1
a1034,1,1,0.333333,0.5,1,0.5,Cl2
a1035,0,0,0.666667,0,1,1,Cl1
a1036,0.333333,0.666667,0.666667,0,0.5,0.5,Cl1
a1037,0.333333,0,0.333333,0.5,0.5,0,Cl1
a1038,0,0,0.666667,1,1,0,Cl1
a1039,0,0.666667,1,0.5,0,0.5,Cl1
a1040,0,0,0.666667,0.5,0,0,Cl1
a1041,0.666667,0,1,0.5,0.5,1,Cl2
a1042,0,0.666667,0.666667,1,0.5,1,Cl2
a1043,0,1,0.666667,0,0.5,1,Cl1
a1044,1,0.333333,0,0,0.5,1,Cl1
a1045,0,0.666667,0.666667,0,0,0.5,Cl1
a1046,0.333333,1,0.666667,1,1,1,Cl3
a1047,0.666667,0.333333,0.666667,0.5,0.5,0,Cl1
a1048,0.333333,1,0,1,1,0.5,Cl2
a1049,0,1,0,1,0.5,0,Cl1
a1050,0,0.333333,0.333333,0.5,1,0.5,Cl1
a1051,0.333333,0.666667,1,0.5,1,0,Cl1
a1052,0.666667,1,1,0,0.5,0,Cl1
