Alternative,g1,g2,g3,g4,g5,g6,g7,Class
a369,0.6,0.297158,0.304348,0.155089,0.589286,0.583333,1,Cl3
a370,0.2,0.173127,0.11413,0.540686,0.589286,0.333333,0.5,Cl2
a371,1,0.085271,0.125,0.248653,0.535714,0.166667,0,Cl2
a372,0,0.20155,0.043478,0.598809,0.934524,0.333333,0,Cl1
a373,0.6,0.196382,0.945652,0.884321,0.404762,0.916667,0.5,Cl3
a374,0.6,0.421189,0.347826,0.512333,0.589286,0.416667,1,Cl3
a375,0.2,0.609819,0.266304,0.768925,0.52381,0.083333,0,Cl1
a376,0.2,0.095607,0.065217,0.377658,0.196429,1,0.5,Cl1
a377,0,0.501292,0.429348,0.105472,0.428571,0.583333,1,Cl2
a378,0.4,0.121447,0.217391,0.947547,0.589286,0.5,0.5,Cl2
a379,0.6,0.010336,0.521739,0.7556,0.267857,0.666667,0.5,Cl2
a380,0.4,0.085271,0.130435,0.771761,0.845238,0.166667,1,Cl3
a381,0.2,0.604651,0.141304,0.29827,0.452381,0.833333,0.5,Cl2
a382,0.6,0.271318,0.918478,0.286929,0.535714,0.083333,0.5,Cl2
a383,0.4,0.514212,0.157609,0.299972,0.988095,0.916667,1,Cl3
a384,0.6,0.198966,0,0.116813,0.827381,0.916667,0,Cl2
a385,0,0.26615,0.646739,0.410264,0.380952,0.5,1,Cl2
a386,1,0.22739,0.880435,0.115396,0.363095,0.333333,0,Cl2
a387,0.6,0.031008,0.483696,0.417635,0.595238,0.666667,0,Cl2
a388,1,0.470284,0.228261,0.285512,0.52381,0.333333,0,Cl2
a389,0.2,1,0.222826,0.184576,0.577381,0.333333,0.5,Cl2
a390,0.4,0.857881,0.646739,0.581514,0.690476,1,0.5,Cl3
a391,1,0.728682,0.293478,0.779699,0.27381,0.833333,1,Cl3
a392,0,0.514212,0.429348,0.065778,0.803571,1,1,Cl3
